,Channel,median_channel,mode_channel,mean_channel,var_channel,mean_median,mode_mean,median_mode,clusterNum
370,16010,54.06378478,54.40429979,48.85601221,174.975771,-5.20777257,5.548287583,-0.340515014,2
372,16130,32.54940997,10.50660961,34.84019385,230.7115923,2.290783876,-24.33358424,22.04280036,2
394,21340,64.01374137,63.39780053,61.06037134,370.4667255,-2.953370029,2.337429188,0.615940841,2
440,24220,14.51243414,27.67810224,19.19524548,232.3371891,4.682811338,8.482856764,-13.1656681,2
460,25410,43.48043505,38.25986968,45.36116229,410.9585818,1.88072724,-7.101292608,5.220565368,2
493,27710,26.0184323,54.33419966,29.03153882,308.9308722,3.013106513,25.30266085,-28.31576736,2
552,31020,59.0963004,40.68795702,57.39564204,323.3135867,-1.700658369,-16.70768501,18.40834338,2
564,31780,15.51386416,20.7619339,18.23166955,229.5106043,2.717805386,2.530264356,-5.248069742,2
604,34700,35.42658467,52.59992387,33.90609254,404.2104703,-1.520492126,18.69383133,-17.1733392,2
691,50193,25.00852912,100,26.47113089,213.8215693,1.462601773,73.52886911,-74.99147088,2
746,50271,15.81104487,25.42282897,20.51117528,260.9032742,4.700130413,4.911653687,-9.6117841,2
755,50280,17.09082776,11.5913256,20.85255491,306.0473461,3.761727152,-9.261229315,5.499502163,2
768,50295,18.86013789,29.78324458,24.61537522,314.1389407,5.755237333,5.167869359,-10.92310669,2
921,50659,47.88991517,34.08418658,50.73805242,523.7555298,2.848137246,-16.65386584,13.8057286,2
1113,51028,22.8463573,38.717232,25.12007664,247.8112249,2.273719339,13.59715536,-15.8708747,2
1179,51111,10.12467282,100,20.0670816,519.3461423,9.942408784,79.9329184,-89.87532718,2
1329,51292,28.28156958,100,29.85547333,558.7614764,1.57390375,70.14452667,-71.71843042,2
1633,53112,29.25720327,46.86737805,30.02506505,184.6627797,0.767861779,16.842313,-17.61017478,2
1668,53953,22.68761779,12.75664251,28.4628669,231.9161204,5.775249109,-15.70622439,9.930975277,2
1669,53954,29.35587801,59.02740667,34.66915389,284.0460162,5.31327588,24.35825278,-29.67152866,2
1670,53955,26.20488538,20.12511443,31.83640203,261.6423549,5.63151665,-11.7112876,6.079770951,2
1671,53956,26.25341649,20.99628253,31.89527374,262.4568308,5.641857251,-10.89899121,5.257133962,2
1672,53957,26.2835415,19.05411551,31.94719703,263.4203471,5.663655533,-12.89308153,7.229425994,2
1673,53958,26.37506131,20.65984073,32.0146472,264.8956817,5.639585888,-11.35480647,5.715220579,2
1674,53959,26.2835415,19.06169471,31.96378403,263.5713541,5.680242528,-12.90208932,7.221846791,2
1675,53960,26.29105217,20.18614587,31.95776243,263.5402515,5.666710261,-11.77161656,6.104906302,2
1676,53961,26.2835415,18.83595471,31.94886108,263.4379329,5.665319578,-13.11290636,7.447586786,2
1677,53962,26.2835415,39.85391463,31.95409918,263.5227879,5.670557683,7.899815448,-13.57037313,2
1678,53963,26.64802284,12.95605149,32.64416498,275.344329,5.996142138,-19.68811349,13.69197135,2
1679,53964,26.26852017,51.52193375,31.93024804,263.1633328,5.661727874,19.59168571,-25.25341358,2
1680,53965,26.2123137,58.03825179,31.83337234,261.4379869,5.621058634,26.20487945,-31.82593808,2
1681,53966,26.41392544,54.38221135,31.45207428,244.5413851,5.038148835,22.93013708,-27.96828591,2
1682,53967,23.92408991,22.33119578,29.12336264,221.1021571,5.199272725,-6.792166862,1.592894137,2
1684,53969,30.2312156,30.97826087,29.69672237,187.2131181,-0.534493235,1.281538504,-0.74704527,2
1686,53971,30.94411725,4.899374388,25.49866552,323.2363251,-5.445451736,-20.59929113,26.04474287,2
1697,54155,30.61734728,44.6633211,33.0317911,212.5686197,2.414443812,11.63153,-14.04597381,2
1700,54171,35.4175796,51.42377281,36.21269917,211.048649,0.795119565,15.21107364,-16.00619321,2
1707,54446,19.43581299,14.9670296,23.31359863,180.8073931,3.877785639,-8.346569034,4.468783395,2
1709,54449,28.15555865,43.76540904,27.56683428,219.2004093,-0.58872437,16.19857476,-15.60985039,2
1710,54450,44.22799729,57.1265418,43.97930345,586.8630924,-0.248693847,13.14723835,-12.89854451,2
1723,54463,28.68419419,40.46085045,28.07665698,255.7032045,-0.607537207,12.38419347,-11.77665626,2
1734,54500,18.26618672,6.383621667,23.52174589,195.3554534,5.255559175,-17.13812423,11.88256505,2
1742,54509,45.48322763,31.27474871,43.26004735,259.8099648,-2.223180273,-11.98529865,14.20847892,2
1744,54511,63.02943081,34.72994591,58.57234007,338.8443087,-4.457090744,-23.84239415,28.2994849,2
1745,54512,64.26855659,77.36905843,58.17321674,357.9201876,-6.095339845,19.19584169,-13.10050184,2
1746,54513,75.69482583,100,67.12174488,495.7899831,-8.573080943,32.87825512,-24.30517417,2
1760,54527,47.4726127,71.65271177,47.1508107,600.3195513,-0.321801998,24.50190108,-24.18009908,2
1761,54528,41.59395351,11.95577583,41.05521546,467.9229942,-0.538738052,-29.09943963,29.63817768,2
1762,54529,30.1043141,33.99894507,29.04585571,250.9315955,-1.058458395,4.953089358,-3.894630963,2
1775,54562,24.26013944,27.83505155,33.52510047,533.5315917,9.264961032,-5.690048925,-3.574912108,2
1778,54617,42.97834825,21.51255405,43.34226369,268.1433756,0.36391544,-21.82970964,21.4657942,2
1780,54634,54.06378478,59.6547266,48.85601221,174.975771,-5.20777257,10.79871439,-5.590941818,2
1786,54656,32.54940997,60.76565949,34.84019385,230.7115923,2.290783876,25.92546564,-28.21624951,2
1868,55215,14.01337855,0.845134765,19.45196721,303.0931941,5.438588665,-18.60683245,13.16824378,2
1883,55240,51.51947112,54.73290997,52.50024021,236.5878249,0.980769098,2.23266976,-3.213438858,2
1936,55338,62.60774102,45.45454545,60.25218675,190.1351428,-2.35555427,-14.7976413,17.15319557,2
1973,55410,62.95216791,66.29893511,62.58566557,562.8243534,-0.366502338,3.713269542,-3.346767204,2
1978,55417,22.49778482,45.13988387,26.30760008,249.1605491,3.809815255,18.83228379,-22.64209905,2
1998,55482,72.98542838,78.82174078,64.52689306,536.0936258,-8.458535321,14.29484772,-5.836312399,2
2016,55520,63.87458004,74.2152128,63.78597979,184.3667659,-0.08860025,10.42923301,-10.34063276,2
2023,55639,18.86077352,24.01001365,28.00648927,385.5001298,9.145715745,-3.996475612,-5.149240133,2
2038,55678,54.34149323,41.87877398,54.27316221,411.6075512,-0.068331028,-12.39438822,12.46271925,2
2049,55713,46.1817782,47.67651438,47.06160231,427.7458242,0.879824112,0.614912071,-1.494736183,2
2091,55920,51.14417618,53.47248577,50.66363072,329.8697332,-0.480545458,2.808855051,-2.328309593,2
2093,55922,68.2383015,63.27918398,63.8582562,398.0815341,-4.380045296,-0.579072223,4.959117519,2
2172,56181,34.73645363,25.67773378,35.3608199,231.1412021,0.624366271,-9.683086121,9.058719849,2
2192,56230,23.89621176,44.39865118,25.69505246,345.414658,1.798840699,18.70359872,-20.50243942,2
2194,56232,24.87668103,21.42857143,28.69478877,378.2563617,3.818107731,-7.266217337,3.448109606,2
